feature,importance
user_mean_rating,0.15553173326995412
user_median_rating_x,0.13449879510346227
user_rating_std_x,0.07425759091000998
user_avg_rating,0.07220313267271847
global_rating,0.07172574780721992
user_rating_std_y,0.049614921944179366
user_rating_count,0.03921821835091471
members,0.03717060318157491
engagement_percentile,0.03669809926418591
popularity_percentile,0.034594065080359705
rating_count,0.030975373313810325
user_median_rating_y,0.03069808958713322
genre_diversity,0.028414377357498823
episodes,0.02330500238512786
Romance,0.007238396236800681
Action,0.0064687986893717945
Drama,0.0062227826841803014
Drama,0.005783623928764938
Comedy,0.005433838594059085
School,0.005292325564784437
Action,0.005146923059830294
Romance,0.005105071326516647
Supernatural,0.004999272480565739
Comedy,0.004985189091773127
Sci-Fi,0.004883458010409641
Fantasy,0.004755615602384005
Shounen,0.004751597529782267
Adventure,0.004640879196861427
Sci-Fi,0.004590923140632711
Supernatural,0.0042016995415451106
Adventure,0.00407354554282852
Shounen,0.004013933990844362
Fantasy,0.00388357778856022
School,0.003849682722700187
type_TV,0.0038490556608869746
Slice of Life,0.0036424337819974083
Magic,0.0036229291910004372
Seinen,0.003492526459577629
Mystery,0.0034249729004291745
Ecchi,0.003180231476484409
type_OVA,0.003151925170633164
Super Power,0.003115900629667616
type_Movie,0.0030683759572748067
Shoujo,0.003063583924935916
Mecha,0.0029699250763054173
Harem,0.002948741840234312
Military,0.002740485587482923
Psychological,0.002731899159145163
Horror,0.00230009022766458
Historical,0.0021776162702896416
Thriller,0.0021595210723504687
type_Special,0.0020193478606933524
Demons,0.0018970155999960083
Game,0.001849635421204859
Sports,0.001804272798127893
Parody,0.0017233728902114915
Slice of Life,0.0016015701294194579
Police,0.0015953389617105495
Martial Arts,0.001579533918551276
Space,0.0014237641901249383
Vampire,0.0013801854736864838
type_ONA,0.0013574972988186123
Ecchi,0.0012558655175541333
Samurai,0.0011930874059830072
Music,0.0011543686462624192
Kids,0.0010226835087407528
Hentai,0.0009955963183443067
Shoujo,0.000863933963403961
Dementia,0.0007196578327135582
Hentai,0.0006534386344377552
Shoujo Ai,0.0006384312027401844
Josei,0.0005156093300797796
Shounen Ai,0.0003390152407376167
Mecha,0.00033542640364342245
Yaoi,0.000307664604017422
Mystery,0.00025233889829807065
Cars,0.00016636965595776557
type_Music,0.00016511607406922025
Psychological,0.00010522392447108361
Super Power,7.567655450768628e-05
Seinen,5.765332167359396e-05
Thriller,3.078463033959447e-05
Music,2.4908768572058728e-05
Yuri,1.3507586393143398e-05
Military,1.3330931333987816e-05
Magic,1.6771654756164319e-06
Game,0.0
type_Unknown,0.0
Cars,0.0
Dementia,0.0
Demons,0.0
Harem,0.0
Police,0.0
Parody,0.0
Historical,0.0
Josei,0.0
Horror,0.0
Kids,0.0
Martial Arts,0.0
Samurai,0.0
Shoujo Ai,0.0
Shounen Ai,0.0
Sports,0.0
Space,0.0
Vampire,0.0
Yaoi,0.0
Yuri,0.0
